LocationID,COUNTY,ROUTE,LOCATION,AADT_2002,AADT_2003,AADT_2004,AADT_2005,AADT_2006,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020,AADT_2021,AADT_2022,AADT_2023
600001819,MECKLENBURG,I-485,BETWEEN I-485 INNER AND SR 2805,5035.714285714285,5035.714285714285,5035.714285714285,5035.714285714285,5035.714285714285,5035.714285714285,5035.714285714285,3600.0,4100.0,3600.0,4100.0,3500.0,3400.0,4800.0,5600.0,5900.0,6100.0,6000.0,5035.714285714285,6500.0,6600.0,6700.0
600001820,MECKLENBURG,I-485,BETWEEN NC 24-27 AND I-485 OUTER,7869.2307692307695,7869.2307692307695,7869.2307692307695,7869.2307692307695,7869.2307692307695,7869.2307692307695,7869.2307692307695,5400.0,5400.0,5200.0,5900.0,5800.0,6100.0,7100.0,10000.0,9900.0,7869.2307692307695,10500.0,7869.2307692307695,9500.0,10500.0,11000.0
600001821,MECKLENBURG,I-485,BETWEEN I-485 INNER AND NC 24-27,7728.571428571428,7728.571428571428,7728.571428571428,7728.571428571428,7728.571428571428,7728.571428571428,7728.571428571428,5100.0,5300.0,5200.0,5600.0,5400.0,6200.0,7200.0,8700.0,9600.0,9600.0,9700.0,7728.571428571428,9600.0,10000.0,11000.0
600001822,MECKLENBURG,I-485,BETWEEN NC 24-27 AND I-485 INNER,2676.923076923077,2676.923076923077,2676.923076923077,2676.923076923077,2676.923076923077,2676.923076923077,2676.923076923077,2000.0,1900.0,2100.0,2300.0,2100.0,2200.0,2800.0,2800.0,3400.0,2676.923076923077,3000.0,2676.923076923077,3300.0,3300.0,3600.0
600001823,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND NC 24-27,2628.5714285714284,2628.5714285714284,2628.5714285714284,2628.5714285714284,2628.5714285714284,2628.5714285714284,2628.5714285714284,2000.0,2000.0,1900.0,2300.0,2100.0,2100.0,2700.0,2800.0,3200.0,2900.0,2700.0,2628.5714285714284,3200.0,3300.0,3600.0
600001824,MECKLENBURG,I-485,BETWEEN NC 51 AND I-485 OUTER,2246.153846153846,2246.153846153846,2246.153846153846,2246.153846153846,2246.153846153846,2246.153846153846,2246.153846153846,1400.0,1400.0,1500.0,1700.0,1700.0,1800.0,2100.0,2500.0,3000.0,2246.153846153846,3100.0,2246.153846153846,2800.0,2900.0,3300.0
600001825,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND NC 51,3792.8571428571427,3792.8571428571427,3792.8571428571427,3792.8571428571427,3792.8571428571427,3792.8571428571427,3792.8571428571427,3000.0,2900.0,2900.0,3200.0,3100.0,3000.0,3200.0,3900.0,4600.0,4600.0,4600.0,3792.8571428571427,4400.0,4700.0,5000.0
600001826,MECKLENBURG,I-485,BETWEEN I-485 INNER AND NC 51,2253.846153846154,2253.846153846154,2253.846153846154,2253.846153846154,2253.846153846154,2253.846153846154,2253.846153846154,1400.0,1400.0,1500.0,2253.846153846154,1600.0,1900.0,2200.0,2500.0,3000.0,2800.0,2800.0,2253.846153846154,2600.0,2600.0,3000.0
600001827,MECKLENBURG,I-485,BETWEEN NC 51 AND I-485 INNER,3585.714285714286,3585.714285714286,3585.714285714286,3585.714285714286,3585.714285714286,3585.714285714286,3585.714285714286,2800.0,2700.0,2700.0,3200.0,2800.0,2900.0,3000.0,3500.0,4300.0,4300.0,4100.0,3585.714285714286,4300.0,4800.0,4800.0
600001828,MECKLENBURG,I-485,BETWEEN I-485 INNER AND NC 218,3464.285714285714,3464.285714285714,3464.285714285714,3464.285714285714,3464.285714285714,3464.285714285714,3464.285714285714,2200.0,2300.0,2300.0,2500.0,2400.0,2300.0,3200.0,4400.0,6100.0,5500.0,3100.0,3464.285714285714,4000.0,3900.0,4300.0
600001829,MECKLENBURG,I-485,BETWEEN NC 218 AND I-485 INNER,3778.5714285714284,3778.5714285714284,3778.5714285714284,3778.5714285714284,3778.5714285714284,3778.5714285714284,3778.5714285714284,3300.0,3300.0,3200.0,3500.0,3200.0,3400.0,3400.0,3800.0,4600.0,4600.0,3800.0,3778.5714285714284,4200.0,4200.0,4400.0
600001830,MECKLENBURG,I-485,BETWEEN NC 218 AND I-485 OUTER,3553.846153846154,3553.846153846154,3553.846153846154,3553.846153846154,3553.846153846154,3553.846153846154,3553.846153846154,2400.0,2600.0,2600.0,3100.0,2900.0,2600.0,3500.0,4500.0,5900.0,3553.846153846154,3100.0,3553.846153846154,4100.0,4200.0,4700.0
600001831,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND NC 218,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,3200.0,3200.0,3200.0,3400.0,3100.0,3100.0,3300.0,3900.0,4600.0,4500.0,4500.0,3750.0,4000.0,4200.0,4300.0
600001832,MECKLENBURG,I-485,BETWEEN I-485 INNER AND SR 1004,3021.4285714285716,3021.4285714285716,3021.4285714285716,3021.4285714285716,3021.4285714285716,3021.4285714285716,3021.4285714285716,2400.0,2400.0,2300.0,2600.0,2600.0,2700.0,2800.0,3300.0,3400.0,3700.0,3300.0,3021.4285714285716,3400.0,3700.0,3700.0
600001833,MECKLENBURG,I-485,BETWEEN SR 1004 AND I-485 OUTER,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,2600.0,2400.0,2300.0,2500.0,2500.0,2600.0,3000.0,3400.0,3600.0,3700.0,3300.0,3100.0,3700.0,3900.0,3900.0
600001834,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND SR 1004,4592.857142857143,4592.857142857143,4592.857142857143,4592.857142857143,4592.857142857143,4592.857142857143,4592.857142857143,4400.0,4400.0,4300.0,4500.0,4600.0,4400.0,4300.0,5200.0,4800.0,5800.0,5000.0,4592.857142857143,4000.0,4300.0,4300.0
600001835,MECKLENBURG,I-485,BETWEEN SR 1004  AND I-485 INNER,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4400.0,4700.0,4200.0,4500.0,4300.0,4300.0,4300.0,4800.0,5300.0,5000.0,4400.0,4500.0,4100.0,4300.0,4400.0
600001836,MECKLENBURG,I-485,BETWEEN SR 3174 AND I-485 OUTER,3964.285714285714,3964.285714285714,3964.285714285714,3964.285714285714,3964.285714285714,3964.285714285714,3964.285714285714,3400.0,3200.0,3100.0,2900.0,3400.0,3400.0,3500.0,4100.0,4900.0,5200.0,4400.0,3964.285714285714,4400.0,4600.0,5000.0
600001837,MECKLENBURG,I-485,BETWEEN I-485 INNER AND SR 3174,4207.142857142857,4207.142857142857,4207.142857142857,4207.142857142857,4207.142857142857,4207.142857142857,4207.142857142857,3300.0,3400.0,3200.0,2900.0,3500.0,3400.0,3800.0,4300.0,5400.0,5600.0,4900.0,4207.142857142857,4700.0,4800.0,5700.0
600001838,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND SR 3174,5364.285714285715,5364.285714285715,5364.285714285715,5364.285714285715,5364.285714285715,5364.285714285715,5364.285714285715,5400.0,4900.0,4900.0,4900.0,5400.0,5000.0,5200.0,5800.0,6900.0,6800.0,5600.0,5364.285714285715,4400.0,4900.0,5000.0
600001839,MECKLENBURG,I-485,BETWEEN SR 3174 AND I-485 INNER,5135.714285714285,5135.714285714285,5135.714285714285,5135.714285714285,5135.714285714285,5135.714285714285,5135.714285714285,5100.0,5000.0,4900.0,4900.0,5300.0,5200.0,4000.0,5700.0,6200.0,6300.0,5200.0,5135.714285714285,4400.0,4800.0,4900.0
600001840,MECKLENBURG,I-485,BETWEEN US 74 AND I-485 OUTER,11730.76923076923,11730.76923076923,11730.76923076923,11730.76923076923,11730.76923076923,11730.76923076923,11730.76923076923,9900.0,9100.0,9100.0,9000.0,9900.0,11000.0,11000.0,13000.0,13000.0,11730.76923076923,13500.0,11730.76923076923,13500.0,15000.0,15500.0
600001841,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND US 74,16833.333333333332,16833.333333333332,16833.333333333332,16833.333333333332,16833.333333333332,16833.333333333332,16833.333333333332,16000.0,15000.0,16833.333333333332,15000.0,17000.0,17000.0,17000.0,19000.0,17000.0,20000.0,20500.0,16833.333333333332,16833.333333333332,14000.0,14500.0
600001842,MECKLENBURG,I-485,BETWEEN US 74 AND I-485 INNER,18464.285714285714,18464.285714285714,18464.285714285714,18464.285714285714,18464.285714285714,18464.285714285714,18464.285714285714,16000.0,16000.0,15000.0,15000.0,18000.0,17000.0,16000.0,19000.0,19000.0,20000.0,20000.0,18464.285714285714,21000.0,22500.0,24000.0
600001843,MECKLENBURG,I-485,BETWEEN I-485 INNER AND US 74 WB,5907.142857142857,5907.142857142857,5907.142857142857,5907.142857142857,5907.142857142857,5907.142857142857,5907.142857142857,5500.0,5100.0,4900.0,5200.0,5500.0,5800.0,6100.0,7300.0,7500.0,7500.0,6000.0,5907.142857142857,5400.0,5300.0,5600.0
600001844,MECKLENBURG,I-485,BETWEEN I-485 INNER AND US 74 EB,5342.857142857143,5342.857142857143,5342.857142857143,5342.857142857143,5342.857142857143,5342.857142857143,5342.857142857143,3700.0,3500.0,3700.0,3600.0,3900.0,4400.0,4900.0,5400.0,4300.0,5100.0,7400.0,5342.857142857143,8300.0,8100.0,8500.0
600001845,MECKLENBURG,I-485,BETWEEN US 74 WB AND I-485 OUTER,5535.714285714285,5535.714285714285,5535.714285714285,5535.714285714285,5535.714285714285,5535.714285714285,5535.714285714285,3900.0,3900.0,4000.0,4000.0,4100.0,4700.0,5500.0,5600.0,4700.0,4800.0,6900.0,5535.714285714285,8200.0,8400.0,8800.0
600001846,MECKLENBURG,I-485,BETWEEN US 74 WB AND I-485,15964.285714285714,15964.285714285714,15964.285714285714,15964.285714285714,15964.285714285714,15964.285714285714,15964.285714285714,13000.0,13000.0,13000.0,12000.0,13000.0,14000.0,14000.0,15000.0,14000.0,14500.0,19000.0,15964.285714285714,21500.0,23000.0,24500.0
600001847,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND US 74 WB,7578.571428571428,7578.571428571428,7578.571428571428,7578.571428571428,7578.571428571428,7578.571428571428,7578.571428571428,6700.0,6600.0,7000.0,6900.0,7700.0,7400.0,7200.0,9400.0,9200.0,10000.0,8600.0,7578.571428571428,6300.0,6400.0,6700.0
600001848,MECKLENBURG,I-485,BETWEEN US 74 EB AND I-485 OUTER,6092.307692307692,6092.307692307692,6092.307692307692,6092.307692307692,6092.307692307692,6092.307692307692,6092.307692307692,5700.0,5200.0,5100.0,5200.0,5800.0,5900.0,6300.0,8000.0,7900.0,6092.307692307692,6500.0,6092.307692307692,5600.0,5800.0,6200.0
600001849,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND US 74 EB,10542.857142857143,10542.857142857143,10542.857142857143,10542.857142857143,10542.857142857143,10542.857142857143,10542.857142857143,9400.0,8400.0,8800.0,8700.0,9400.0,9300.0,9800.0,10000.0,8400.0,9900.0,12500.0,10542.857142857143,13000.0,14500.0,15500.0
600001850,MECKLENBURG,I-485,BETWEEN US 74 EB AND I-485 INNER,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,7500.0,7500.0,7300.0,7400.0,8500.0,8000.0,7700.0,9700.0,10000.0,10500.0,9100.0,8400.0,7700.0,8100.0,8600.0
600001851,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND SR 1010,7428.571428571428,7428.571428571428,7428.571428571428,7428.571428571428,7428.571428571428,7428.571428571428,7428.571428571428,7500.0,7000.0,7000.0,6900.0,7600.0,7300.0,7100.0,6600.0,7200.0,8600.0,8200.0,7428.571428571428,7400.0,7600.0,8000.0
600001852,MECKLENBURG,I-485,BETWEEN SR 1010 AND I-485 INNER,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,6600.0,6000.0,5900.0,6000.0,6400.0,6200.0,6200.0,7000.0,6800.0,7400.0,6600.0,6400.0,5800.0,6200.0,6500.0
600001853,MECKLENBURG,I-485,BETWEEN SR 1010 AND I-485 OUTER,7042.857142857143,7042.857142857143,7042.857142857143,7042.857142857143,7042.857142857143,7042.857142857143,7042.857142857143,5600.0,5200.0,5200.0,5400.0,5900.0,6600.0,6400.0,8000.0,9100.0,10000.0,8500.0,7042.857142857143,7100.0,7600.0,8000.0
600001854,MECKLENBURG,I-485,BETWEEN I-485 INNER AND SR 1010,7576.923076923077,7576.923076923077,7576.923076923077,7576.923076923077,7576.923076923077,7576.923076923077,7576.923076923077,6100.0,5700.0,5700.0,5600.0,6400.0,6800.0,6900.0,8600.0,9900.0,7576.923076923077,9300.0,7576.923076923077,8800.0,9100.0,9600.0
600001855,MECKLENBURG,I-485,BETWEEN I-485 OUTER AND NC 16,12571.42857142857,12571.42857142857,12571.42857142857,12571.42857142857,12571.42857142857,12571.42857142857,12571.42857142857,11000.0,10000.0,11000.0,11000.0,12000.0,12000.0,11000.0,12000.0,14000.0,15000.0,14500.0,12571.42857142857,13500.0,14500.0,14500.0
600001856,MECKLENBURG,I-485,BETWEEN NC 16 SB AND I-485 INNER,6525.0,6525.0,6525.0,6525.0,6525.0,6525.0,6525.0,6900.0,6200.0,5900.0,6525.0,6400.0,5800.0,6300.0,7700.0,7500.0,6525.0,7100.0,6525.0,5400.0,6500.0,6600.0
